"","Kingdom","Phylum","Class","Order","Family","Genus","Species","BNW-DC","BNW-PC1","BNW-PC2","BNW-PC3","BNW-PC4","BNW-SI","BNW-ST","SHNW-DC1","SHNW-DC3","SHNW-DSI","SHNW-PC1","SHNW-PC2","SHNW-PC3","SHNW-PSI","SHNW-ST"
"38864637c678eeb1712a4bddb5392075","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidales_BS11_gut_group",NA,NA,0.176692920126701,8.32782771390026e-05,0.000555868980851558,0.086928849569811,0.157896919498283,8.58148116364885e-05,0.000144606189144895,0.00837537125443734,0.0110145818355441,9.06448083186035e-05,7.88813194693438e-05,3.74564568688899e-05,0.00250527643011814,0,0.000180153130160637
"8e9bd31c10ebac381a546fbcf6b50497","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","M2PB4-65_termite_group",NA,NA,0.00335159660987929,0,0,4.05019932766691e-05,0.000923660409652817,0,0,0,0,0,0,0,0,0,0
"f15810ec5c96f9c535bc8e06d19b7462","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae",NA,NA,0,0,0,0,0,0,0.000273145023940358,0,0,0,0,0,0,0,0
"23d9ec1adf9faecb6549935ff71e4afa","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00859730771155482
"8b3a6d5a9a5c364af1ca14aa3b1e47ba","d__Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50592529175866e-05,0.00237201621378171
"734eda75ad07d1b81ff4291f949a9edc","d__Bacteria","Proteobacteria","Gammaproteobacteria","CCD24","CCD24",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00051043386878847
"81ee67828a8b969e59ac0ed845fde26a","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000230195666316369
"111ceeb1ed1e0649c723498492741b37","d__Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA,0,0,0,0,0,0,3.21347086988656e-05,0,0,0,0,0,0,0,0.00176149727268178
"03fe5c6a1c8838ee7a782dcb3cae878e","d__Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",NA,NA,0,0,0,0,0,0,0.000289212378289791,0,0,0,0,0,0,0,0
"83c88672ada5805820ab15d32c19d195","d__Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",NA,NA,8.56091088091773e-06,0,2.07413798825208e-05,4.05019932766691e-05,1.88502124418942e-05,0,0.00163887014364215,2.57703730905764e-05,0,1.29492583312291e-05,1.43420580853352e-05,3.74564568688899e-05,2.74100265877258e-05,0.000191501824899743,0.017835159885903
"808afdad7f5dcf7247f3bee2dcf0deb6","d__Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Pseudohongiellaceae",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000160136115698344
"cfbc8da87a8d5e0f4b3dbc86774124ad","d__Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",NA,NA,5.99263761664241e-05,6.10707365686019e-05,0.000207413798825208,0.000133077977909056,8.67109772327134e-05,0.0111804440303539,0.591471448311321,0.000161064831816103,4.93927436571485e-05,0.00674008896140474,0.0164216565077089,0.000168554055910005,0.00018090617547899,0.435711710899833,0.561477255667317
"0b0912e4a373b2abab7e3d841d64a089","d__Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA,2.99631880832121e-05,0.000244282946274407,6.63724156240666e-05,4.05019932766691e-05,1.50801699535154e-05,0.120189773326305,0.00549503518750603,2.57703730905764e-05,2.19523305142882e-05,0,4.30261742560057e-05,0,1.64460159526355e-05,2.25296264587933e-05,5.00425361557324e-05
"3b1052c1f728401dfba2d78d4d7ac919","d__Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Hafniaceae",NA,NA,0,0,0,0,0,0.000686518493091908,0,0,0,0,0,0,0,0,0
"85bf80b0588dd6731ff3c3db33219ec1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae",NA,NA,0,0,0,0,0,0,0,0.000347900036722782,0.000279892214057175,0,0.0037217640731445,0.000724158166131872,0.000323438313735164,0,0
